YEAR,RUN,TECHNOLOGY,VALUE
2015,nz-2040_hp-00,Gas boiler,1225109.6837723968
2015,nz-2040_hp-00,Oil boiler,80259.16520770479
2015,nz-2040_hp-00,Electric storage heater,45679.47402707155
2015,nz-2040_hp-00,Electric resistance heater,116655.14741163704
2015,nz-2040_hp-00,Biomass boiler,7127.688570612171
2015,nz-2040_hp-00,Heat interface unit,19275.3329639378
2015,nz-2040_hp-00,Air-source HP,53498.95677837828
2015,nz-2040_hp-00,Ground-source HP,1657.559638466787
2015,nz-2040_hp-00,H2 boiler,0.0
2015,nz-2040_hp-00,Building retrofit,0.0
2015,nz-2040_hp-01,Gas boiler,1225110.5815261386
2015,nz-2040_hp-01,Oil boiler,80259.16492997993
2015,nz-2040_hp-01,Electric storage heater,45980.28138297272
2015,nz-2040_hp-01,Electric resistance heater,108195.75963181272
2015,nz-2040_hp-01,Biomass boiler,9244.652701362185
2015,nz-2040_hp-01,Heat interface unit,25316.0473179963
2015,nz-2040_hp-01,Air-source HP,53498.95670943761
2015,nz-2040_hp-01,Ground-source HP,1657.5597804544104
2015,nz-2040_hp-01,H2 boiler,0.0
2015,nz-2040_hp-01,Building retrofit,0.0
2015,nz-2045_hp-00,Gas boiler,1225110.700152737
2015,nz-2045_hp-00,Oil boiler,80259.1654344979
2015,nz-2045_hp-00,Electric storage heater,45980.47245203857
2015,nz-2045_hp-00,Electric resistance heater,107567.9336954795
2015,nz-2045_hp-00,Biomass boiler,9724.737166034374
2015,nz-2045_hp-00,Heat interface unit,25463.481558429638
2015,nz-2045_hp-00,Air-source HP,53498.95587738567
2015,nz-2045_hp-00,Ground-source HP,1657.5597795995347
2015,nz-2045_hp-00,H2 boiler,0.0
2015,nz-2045_hp-00,Building retrofit,0.0
2015,nz-2045_hp-01,Gas boiler,1225110.7008627402
2015,nz-2045_hp-01,Oil boiler,80259.16584369933
2015,nz-2045_hp-01,Electric storage heater,45987.380490162
2015,nz-2045_hp-01,Electric resistance heater,107215.54822984785
2015,nz-2045_hp-01,Biomass boiler,9881.151536015008
2015,nz-2045_hp-01,Heat interface unit,25652.543700610062
2015,nz-2045_hp-01,Air-source HP,53498.95322444522
2015,nz-2045_hp-01,Ground-source HP,1657.5598280244044
2015,nz-2045_hp-01,H2 boiler,0.0
2015,nz-2045_hp-01,Building retrofit,0.0
2015,nz-2050_hp-00,Gas boiler,1225110.7929382604
2015,nz-2050_hp-00,Oil boiler,80259.16904746037
2015,nz-2050_hp-00,Electric storage heater,45988.53859856464
2015,nz-2050_hp-00,Electric resistance heater,107106.062120905
2015,nz-2050_hp-00,Biomass boiler,9883.199886885266
2015,nz-2050_hp-00,Heat interface unit,25758.722703895593
2015,nz-2050_hp-00,Air-source HP,53498.95369116429
2015,nz-2050_hp-00,Ground-source HP,1657.560163792353
2015,nz-2050_hp-00,H2 boiler,0.0
2015,nz-2050_hp-00,Building retrofit,0.0
2015,nz-2050_hp-01,Gas boiler,1225110.7222722708
2015,nz-2050_hp-01,Oil boiler,80259.16414348528
2015,nz-2050_hp-01,Electric storage heater,45990.6494556342
2015,nz-2050_hp-01,Electric resistance heater,107190.00504143313
2015,nz-2050_hp-01,Biomass boiler,9844.567500998715
2015,nz-2050_hp-01,Heat interface unit,25711.381487727525
2015,nz-2050_hp-01,Air-source HP,53498.955845605815
2015,nz-2050_hp-01,Ground-source HP,1657.559684776501
2015,nz-2050_hp-01,H2 boiler,0.0
2015,nz-2050_hp-01,Building retrofit,0.0
2023,nz-2040_hp-00,Gas boiler,1262046.9148435995
2023,nz-2040_hp-00,Oil boiler,84642.37350626326
2023,nz-2040_hp-00,Electric storage heater,24866.991125233195
2023,nz-2040_hp-00,Electric resistance heater,111896.71675143749
2023,nz-2040_hp-00,Biomass boiler,3365.363768350113
2023,nz-2040_hp-00,Heat interface unit,18951.673829112227
2023,nz-2040_hp-00,Air-source HP,80078.5094137316
2023,nz-2040_hp-00,Ground-source HP,1486.049658022919
2023,nz-2040_hp-00,H2 boiler,0.015782949504080494
2023,nz-2040_hp-00,Building retrofit,10630.221880684812
2023,nz-2040_hp-01,Gas boiler,1252750.5053529823
2023,nz-2040_hp-01,Oil boiler,82711.97826909102
2023,nz-2040_hp-01,Electric storage heater,27108.27044328634
2023,nz-2040_hp-01,Electric resistance heater,83843.58630703203
2023,nz-2040_hp-01,Biomass boiler,3287.4670314103837
2023,nz-2040_hp-01,Heat interface unit,56134.84075121584
2023,nz-2040_hp-01,Air-source HP,80183.83083971933
2023,nz-2040_hp-01,Ground-source HP,1486.0469574623396
2023,nz-2040_hp-01,H2 boiler,0.009188662148142283
2023,nz-2040_hp-01,Building retrofit,10458.26935950452
2023,nz-2045_hp-00,Gas boiler,1250128.233226749
2023,nz-2045_hp-00,Oil boiler,80743.97401685432
2023,nz-2045_hp-00,Electric storage heater,27048.942121609427
2023,nz-2045_hp-00,Electric resistance heater,82298.05235428948
2023,nz-2045_hp-00,Biomass boiler,3346.418312957038
2023,nz-2045_hp-00,Heat interface unit,61726.772775003206
2023,nz-2045_hp-00,Air-source HP,80600.08215955013
2023,nz-2045_hp-00,Ground-source HP,1486.0489516560913
2023,nz-2045_hp-00,H2 boiler,0.011303532148168411
2023,nz-2045_hp-00,Building retrofit,10586.273973639696
2023,nz-2045_hp-01,Gas boiler,1184364.1269373228
2023,nz-2045_hp-01,Oil boiler,82741.78874410728
2023,nz-2045_hp-01,Electric storage heater,29921.493505291408
2023,nz-2045_hp-01,Electric resistance heater,134267.77175881396
2023,nz-2045_hp-01,Biomass boiler,3640.738310274238
2023,nz-2045_hp-01,Heat interface unit,64553.600462713825
2023,nz-2045_hp-01,Air-source HP,85703.03922990784
2023,nz-2045_hp-01,Ground-source HP,1486.0464919454969
2023,nz-2045_hp-01,H2 boiler,34.512351685934334
2023,nz-2045_hp-01,Building retrofit,11251.683930104751
2023,nz-2050_hp-00,Gas boiler,1251409.8418246296
2023,nz-2050_hp-00,Oil boiler,85543.39561500457
2023,nz-2050_hp-00,Electric storage heater,27637.003310675023
2023,nz-2050_hp-00,Electric resistance heater,107309.5488542525
2023,nz-2050_hp-00,Biomass boiler,1579.760601262476
2023,nz-2050_hp-00,Heat interface unit,65673.20190072001
2023,nz-2050_hp-00,Air-source HP,46980.78171286044
2023,nz-2050_hp-00,Ground-source HP,1486.0409491128735
2023,nz-2050_hp-00,H2 boiler,0.025770604955107402
2023,nz-2050_hp-00,Building retrofit,10345.17829222868
2023,nz-2050_hp-01,Gas boiler,1249887.0457395457
2023,nz-2050_hp-01,Oil boiler,82712.17440738076
2023,nz-2050_hp-01,Electric storage heater,25065.11546993374
2023,nz-2050_hp-01,Electric resistance heater,113669.3427134904
2023,nz-2050_hp-01,Biomass boiler,2310.100616313357
2023,nz-2050_hp-01,Heat interface unit,64505.73697698101
2023,nz-2050_hp-01,Air-source HP,46984.33585476092
2023,nz-2050_hp-01,Ground-source HP,1486.0399660954465
2023,nz-2050_hp-01,H2 boiler,0.013457909139873521
2023,nz-2050_hp-01,Building retrofit,11344.907707581995
2025,nz-2040_hp-00,Gas boiler,1178068.1059417392
2025,nz-2040_hp-00,Oil boiler,70779.24895000579
2025,nz-2040_hp-00,Electric storage heater,27224.163229192673
2025,nz-2040_hp-00,Electric resistance heater,97581.88942198073
2025,nz-2040_hp-00,Biomass boiler,5280.202799127539
2025,nz-2040_hp-00,Heat interface unit,17630.72595990837
2025,nz-2040_hp-00,Air-source HP,187668.86061677118
2025,nz-2040_hp-00,Ground-source HP,1188.7943593390962
2025,nz-2040_hp-00,H2 boiler,0.024929464066860644
2025,nz-2040_hp-00,Building retrofit,36170.28233103789
2025,nz-2040_hp-01,Gas boiler,1153450.3405751267
2025,nz-2040_hp-01,Oil boiler,65355.69694001433
2025,nz-2040_hp-01,Electric storage heater,27009.810044385984
2025,nz-2040_hp-01,Electric resistance heater,67005.2034138554
2025,nz-2040_hp-01,Biomass boiler,4532.704134876935
2025,nz-2040_hp-01,Heat interface unit,74555.38337908497
2025,nz-2040_hp-01,Air-source HP,193382.92460876054
2025,nz-2040_hp-01,Ground-source HP,1188.7883520012683
2025,nz-2040_hp-01,H2 boiler,0.013975789306355171
2025,nz-2040_hp-01,Building retrofit,35111.425062594455
2025,nz-2045_hp-00,Gas boiler,1136975.686005123
2025,nz-2045_hp-00,Oil boiler,63223.55018121625
2025,nz-2045_hp-00,Electric storage heater,27262.776904550665
2025,nz-2045_hp-00,Electric resistance heater,66177.34283944227
2025,nz-2045_hp-00,Biomass boiler,5199.655571694209
2025,nz-2045_hp-00,Heat interface unit,94007.74887727805
2025,nz-2045_hp-00,Air-source HP,191885.6241799622
2025,nz-2045_hp-00,Ground-source HP,1188.7911375621538
2025,nz-2045_hp-00,H2 boiler,0.016957728552473406
2025,nz-2045_hp-00,Building retrofit,35671.09889101678
2025,nz-2045_hp-01,Gas boiler,1033879.9850933952
2025,nz-2045_hp-01,Oil boiler,79372.83781692063
2025,nz-2045_hp-01,Electric storage heater,26100.729200443027
2025,nz-2045_hp-01,Electric resistance heater,120752.8261307046
2025,nz-2045_hp-01,Biomass boiler,4602.145960722009
2025,nz-2045_hp-01,Heat interface unit,110864.38888858398
2025,nz-2045_hp-01,Air-source HP,204693.41597758944
2025,nz-2045_hp-01,Ground-source HP,1795.9514268801233
2025,nz-2045_hp-01,H2 boiler,313.73336457190305
2025,nz-2045_hp-01,Building retrofit,39216.27612672275
2025,nz-2050_hp-00,Gas boiler,1183175.3455444728
2025,nz-2050_hp-00,Oil boiler,82967.63210108012
2025,nz-2050_hp-00,Electric storage heater,27009.786044541124
2025,nz-2050_hp-00,Electric resistance heater,113247.45597476108
2025,nz-2050_hp-00,Biomass boiler,3710.3546832179686
2025,nz-2050_hp-00,Heat interface unit,138139.3415446886
2025,nz-2050_hp-00,Air-source HP,37063.327323810256
2025,nz-2050_hp-00,Ground-source HP,1188.7830454081895
2025,nz-2050_hp-00,H2 boiler,0.028927723448898202
2025,nz-2050_hp-00,Building retrofit,35090.225829130206
2025,nz-2050_hp-01,Gas boiler,1166350.7283302932
2025,nz-2050_hp-01,Oil boiler,78156.15567095783
2025,nz-2050_hp-01,Electric storage heater,26404.17298982995
2025,nz-2050_hp-01,Electric resistance heater,133589.1511502619
2025,nz-2050_hp-01,Biomass boiler,4660.798737413218
2025,nz-2050_hp-01,Heat interface unit,131113.66646352934
2025,nz-2050_hp-01,Air-source HP,37061.70788590681
2025,nz-2050_hp-01,Ground-source HP,1188.7817095188402
2025,nz-2050_hp-01,H2 boiler,0.02246521677485592
2025,nz-2050_hp-01,Building retrofit,43067.10665572148
2030,nz-2040_hp-00,Gas boiler,1066325.188671592
2030,nz-2040_hp-00,Oil boiler,43722.07116639635
2030,nz-2040_hp-00,Electric storage heater,9203.679375713406
2030,nz-2040_hp-00,Electric resistance heater,41296.361760052874
2030,nz-2040_hp-00,Biomass boiler,2043.9039110066744
2030,nz-2040_hp-00,Heat interface unit,15014.732513900723
2030,nz-2040_hp-00,Air-source HP,392476.5520186412
2030,nz-2040_hp-00,Ground-source HP,764.1874860854521
2030,nz-2040_hp-00,H2 boiler,0.02198507075988269
2030,nz-2040_hp-00,Building retrofit,82812.13751457812
2030,nz-2040_hp-01,Gas boiler,981076.5696498781
2030,nz-2040_hp-01,Oil boiler,38816.90260427243
2030,nz-2040_hp-01,Electric storage heater,9691.586330839094
2030,nz-2040_hp-01,Electric resistance heater,9654.00404084094
2030,nz-2040_hp-01,Biomass boiler,1952.0010464786199
2030,nz-2040_hp-01,Heat interface unit,73678.57650819654
2030,nz-2040_hp-01,Air-source HP,458123.88254659367
2030,nz-2040_hp-01,Ground-source HP,764.1724415587764
2030,nz-2040_hp-01,H2 boiler,0.014760917518718851
2030,nz-2040_hp-01,Building retrofit,79901.11521154005
2030,nz-2045_hp-00,Gas boiler,1005823.3219782949
2030,nz-2045_hp-00,Oil boiler,36381.908092854486
2030,nz-2045_hp-00,Electric storage heater,10448.683746960234
2030,nz-2045_hp-00,Electric resistance heater,17331.05126362619
2030,nz-2045_hp-00,Biomass boiler,2186.1075627404125
2030,nz-2045_hp-00,Heat interface unit,103764.19994163609
2030,nz-2045_hp-00,Air-source HP,394108.7794941157
2030,nz-2045_hp-00,Ground-source HP,764.1761286899205
2030,nz-2045_hp-00,H2 boiler,0.01683757483050741
2030,nz-2045_hp-00,Building retrofit,82850.58131705869
2030,nz-2045_hp-01,Gas boiler,759120.6613935311
2030,nz-2045_hp-01,Oil boiler,48163.876356228226
2030,nz-2045_hp-01,Electric storage heater,9373.816194163426
2030,nz-2045_hp-01,Electric resistance heater,89931.14652954321
2030,nz-2045_hp-01,Biomass boiler,3057.4252969243794
2030,nz-2045_hp-01,Heat interface unit,138530.85668017963
2030,nz-2045_hp-01,Air-source HP,494711.7023239726
2030,nz-2045_hp-01,Ground-source HP,17175.77946493468
2030,nz-2045_hp-01,H2 boiler,476.31472416326585
2030,nz-2045_hp-01,Building retrofit,93117.24288757208
2030,nz-2050_hp-00,Gas boiler,1123419.4538927574
2030,nz-2050_hp-00,Oil boiler,86924.5105006096
2030,nz-2050_hp-00,Electric storage heater,10015.883565485074
2030,nz-2050_hp-00,Electric resistance heater,93381.40310158138
2030,nz-2050_hp-00,Biomass boiler,2487.4239388236792
2030,nz-2050_hp-00,Heat interface unit,223508.45977137974
2030,nz-2050_hp-00,Air-source HP,29831.28580881079
2030,nz-2050_hp-00,Ground-source HP,764.1668406055512
2030,nz-2050_hp-00,H2 boiler,0.03044509170932961
2030,nz-2050_hp-00,Building retrofit,83326.19439294652
2030,nz-2050_hp-01,Gas boiler,1111497.2901194952
2030,nz-2050_hp-01,Oil boiler,30595.36873974092
2030,nz-2050_hp-01,Electric storage heater,10191.263573885271
2030,nz-2050_hp-01,Electric resistance heater,131816.91865931288
2030,nz-2050_hp-01,Biomass boiler,1671.7838968108326
2030,nz-2050_hp-01,Heat interface unit,211454.72100351483
2030,nz-2050_hp-01,Air-source HP,52260.15291996226
2030,nz-2050_hp-01,Ground-source HP,764.1748211025582
2030,nz-2050_hp-01,H2 boiler,0.016725725212045964
2030,nz-2050_hp-01,Building retrofit,103407.13673052196
2035,nz-2040_hp-00,Gas boiler,746691.6519132283
2035,nz-2040_hp-00,Oil boiler,21434.17620141271
2035,nz-2040_hp-00,Electric storage heater,267.7454178178224
2035,nz-2040_hp-00,Electric resistance heater,5516.089469954162
2035,nz-2040_hp-00,Biomass boiler,354.8865702774867
2035,nz-2040_hp-00,Heat interface unit,12065.032439502498
2035,nz-2040_hp-00,Air-source HP,806218.0929863706
2035,nz-2040_hp-00,Ground-source HP,408.33986298710687
2035,nz-2040_hp-00,H2 boiler,204.79351126005358
2035,nz-2040_hp-00,Building retrofit,90626.04211223619
2035,nz-2040_hp-01,Gas boiler,663184.7578143101
2035,nz-2040_hp-01,Oil boiler,17866.3724176398
2035,nz-2040_hp-01,Electric storage heater,405.4994200002509
2035,nz-2040_hp-01,Electric resistance heater,1622.217947941022
2035,nz-2040_hp-01,Biomass boiler,883.513146771184
2035,nz-2040_hp-01,Heat interface unit,74251.68151406349
2035,nz-2040_hp-01,Air-source HP,828169.5470300438
2035,nz-2040_hp-01,Ground-source HP,341.01449387326977
2035,nz-2040_hp-01,H2 boiler,4980.3111351695725
2035,nz-2040_hp-01,Building retrofit,92081.91852439757
2035,nz-2045_hp-00,Gas boiler,687065.1780885846
2035,nz-2045_hp-00,Oil boiler,15723.138939120092
2035,nz-2045_hp-00,Electric storage heater,328.87348316506905
2035,nz-2045_hp-00,Electric resistance heater,1085.0723524581897
2035,nz-2045_hp-00,Biomass boiler,574.8084976641892
2035,nz-2045_hp-00,Heat interface unit,116423.18816836897
2035,nz-2045_hp-00,Air-source HP,771685.6977534184
2035,nz-2045_hp-00,Ground-source HP,393.1204934521774
